#AC_NUM,ACID,TRACK_CNT,ST_TIME,END_TIME,ORIG_TRACK_CNT,ORIG_ST_TIME,ORIG_END_TIME,TRACK_QSTAT,MAX_X,MIN_X,MAX_Y,MIN_Y,MAX_Z,MIN_Z,AC_EQUIP,AC_TYPE,DEST_FIX,FLIGHT_TYPE,ORIGIN_FIX,PRM_ID,GAP_VALUE,MAX_X_SMO,MIN_X_SMO,MAX_Y_SMO,MIN_Y_SMO,MAX_Z_SMO,MIN_Z_SMO,TOD_TIME,TOC_TIME,TOC_ALT,END_CENTER,START_CENTER,END_CENTER_TIME,START_CENTER_TIME
1834,COM342_420,325,59240,62480,272,59232,62484,0,415.734,179.462,596.702,333.533,25000,8933,L,CRJ1,JFK,DEP,RDU,-1,0,415.577,180.019,596.046,333.62,25000,9212,-1,59990,25000,n/a,ZDC,61880,59250
1835,COM343_821,220,56740,58930,178,56736,58932,0,302.7,75.251,596.933,504.967,36000,35900,L,CRJ9,MEM,OVR,BOS,-1,0,302.021,76.287,596.504,505.275,36000,35950,-1,-1,99900,n/a,ZNY,58330,57040
1836,COM348_578,337,55470,58830,277,55464,58836,0,415.151,29.199,593.302,443.717,37000,11000,L,CRJ7,JFK,OVR,MEM,-1,0,414.919,30.456,592.727,443.978,37000,11035,-1,-1,99900,n/a,ZID,58230,55730
1837,COM349_798,340,80730,84120,280,80724,84120,0,329.45,169,583,351.9,26000,3600,L,CRJ7,RDU,ARR,LGA,-1,0,328.703,169.307,582.394,352.483,26000,3825,82450,-1,99900,n/a,ZNY,83520,80840
1838,COM351_010,329,9000,12280,274,8996,12284,0,400.667,182.232,613.9,348.332,26000,1633,L,CRJ7,RDU,ARR,LGA,-1,0,400.501,182.415,613.014,348.503,26000,1704,-1,9530,26000,n/a,ZNY,11680,9060
1839,COM365_327,286,55320,58170,239,55320,58176,0,307.6,172.9,583.8,351.05,26000,2200,L,CRJ7,RDU,ARR,LGA,-1,0,306.517,173.081,583.233,351.533,26000,2401,57300,-1,99900,n/a,ZNY,57570,55470
1840,COM373_842,275,73550,76290,229,73548,76296,0,298.233,173.433,578.133,349.349,26000,2050,L,CRJ7,RDU,ARR,LGA,-1,0,297.403,173.569,577.457,349.556,26000,2162,75340,-1,99900,n/a,ZNY,75690,73730
1841,COM375_864,268,52410,55080,222,52404,55080,0,407.232,280.6,613.653,429.8,26000,8800,L,CRJ1,RIC,ARR,LGA,-1,0,406.819,281.375,613.146,429.8,26000,9025,54210,53500,26000,n/a,ZDC,54480,52410
1842,COM380_810,393,69800,73720,326,69792,73728,0,402.268,149.3,621.101,236.289,35000,5600,L,CRJ7,LGA,OVR,MYR,-1,0,401.973,149.611,620.826,237.12,35000,5807,72630,71050,35000,n/a,ZJX,73120,69810
1843,COM387_914,396,62630,66580,325,62628,66588,0,405.536,174.2,613.8,228.134,34000,5733,L,CRJ7,MYR,OVR,LGA,-1,0,405.065,174.625,613.056,228.424,34000,5967,-1,63920,34000,n/a,ZDC,65980,62630
1844,COM398_765,425,40110,44350,352,40104,44352,0,397.316,95.151,614.616,266.051,29000,7000,L,CRJ1,LGA,OVR,CAE,-1,0,396.896,95.75,614.167,266.632,29000,7000,43160,40740,29000,n/a,ZJX,43900,40220
1845,COM399_015,244,71970,74400,202,71964,74400,0,304.7,83.9,592.15,507.7,28000,27050,L,CRJ1,BNA,OVR,JFK,-1,0,304.198,84.867,591.836,507.833,28000,27118,-1,72090,28000,n/a,ZNY,73800,72410
